id,lat,lng,label,population,risk
475,19.9347,110.4589,"Haikou",5945540,0.03694044432929299
476,36.8572,117.2161,"Jinan",24300017,0.0056808134607613265
480,35.1164,111.0336,"Yuncheng",12627248,0.0017722945098914656
482,28.9186,111.6408,"Changde",10758043,0.001554329853470363
483,43.9961,125.6853,"Changchun",16217434,0.009859043637232478
485,36.2475,113.1258,"Changzhi",8931656,0.001452770269732423
486,39.7189,113.1461,"Datong",7535077,0.002369886783391506
523,8.0958,98.9889,"Krabi",613788,0.0002901935657044937
531,18.7714,98.9628,"Chiang Mai",1497016,0.0016031924551125933
535,9.1361,99.1392,"Surat Thani",891190,0.0011194818982038107
538,13.6858,100.7489,"Bangkok",23541053,0.014622576683141751
549,8.1122,98.3053,"Phuket",711102,0.004471373196790943
566,27.6967,85.3592,"Kathmandu",4670436,0.0002218645239519206
575,17.9883,102.5633,"Vientiane",1706759,0.0001941724190089005
596,14.5086,121.0194,"Manila",26922690,0.0011144022589817068
626,-26.1392,28.2461,"Johannesburg",13748925,0.0001215830670318071
733,50.0331,8.5706,"Frankfurt",6970523,0.0003398427085638188
742,52.5597,13.2878,"Berlin",5387837,0.0001371496396113317
748,48.3539,11.7861,"Munich",4802084,0.00012780969016470771
750,51.2894,6.7667,"Duesseldorf",5382885,0.00011797818461189824
758,7.1803,79.8853,"Colombo",9032691,0.00016648031406588036
789,53.3536,-2.275,"Manchester",5485344,0.00012338550824176155
791,51.4775,-0.4614,"London (UK)",17233070,0.001716254872200814
837,52.3081,4.7642,"Amsterdam",9166721,0.00018106374493848785
875,16.9072,96.1333,"Yangon",11684460,0.0002705305251043286
884,21.7022,95.9781,"Mandalay",7168138,0.00016353085945058291
1085,13.1989,77.7056,"Bengaluru",20037284,0.0002603713056492135
1090,19.0886,72.8681,"Mumbai",28236589,0.00011666732900267546
1095,22.6547,88.4467,"Kolkata",72296808,0.000162383875539786
1099,28.5664,77.1031,"Delhi",62390146,0.00029347073422209685
1125,21.2211,105.8072,"Hanoi",20834462,0.0004371747108686349
1129,10.8189,106.6519,"Ho Chi Minh City",16228217,0.0027080909224437965
1137,11.9981,109.2192,"Nha Trang",1733076,0.00014796431636560442
1139,16.0439,108.1994,"Da Nang",1821939,0.00014370397664653802
1238,-8.7481,115.1672,"Denpasar",5493498,0.002119019269392796
1254,-7.3797,112.7869,"Surabaya",14697428,0.00010716350785762552
1314,-6.1256,106.6558,"Jakarta",36994844,0.001188302496062569
1479,4.1917,73.5292,"Male",172562,0.00022923816049016428
1535,49.0097,2.5478,"Paris",13528665,0.001127019376945934
1595,-34.945,138.5306,"Adelaide",1303638,0.00023693951093071362
1603,-27.3842,153.1175,"Brisbane",1972855,0.00042783479091655706
1612,-33.9461,151.1772,"Sydney (AU)",4670715,0.002185545869935415
1615,-31.9403,115.9669,"Perth",1700500,0.00020203764114787575
1648,-37.6733,144.8433,"Melbourne (AU)",4144035,0.0014860335405091863
1890,55.4089,37.9064,"Moscow",24597359,0.0005956259605916602
2217,41.9786,-87.9047,"Chicago",9723114,0.0001889289670774631
2335,39.1753,-76.6683,"Baltimore",8035632,0.00012846514746386525
2375,37.6189,-122.3917,"San Francisco",7595097,0.0012305780023836505
2393,33.9425,-118.4081,"Los Angeles",19797290,0.001013301532053102
2489,42.3644,-71.0053,"Boston",5294555,0.00012846514746386525
2518,40.6397,-73.7789,"New York",16714154,0.0008456741750873326
2682,43.6772,-79.6306,"Toronto",7618258,0.00041669240025997856
2766,49.1939,-123.1844,"Vancouver",2794226,0.0005376200394871743
2801,33.5114,126.4931,"Jeju",527344,0.00016287543164597148
2803,37.4692,126.4506,"Seoul",27019922,0.005753566654942299
2806,35.1403,129.0628,"Pusan",4350635,0.00018614335466604544
2821,1.3592,103.9894,"Singapore",4091180,0.003964067002959781
2825,25.0778,121.2328,"Taipei",10434115,0.005721941953677065
2828,22.5772,120.35,"Kaohsiung",5680715,0.0027682270281550888
2874,40.4936,-3.5667,"Madrid",6752288,0.00013420018499603426
2884,41.2969,2.0783,"Barcelona (ES)",4148999,0.00010192005592618816
2966,35.6889,51.3147,"Tehran",18888667,0.00013272545768838552
3041,-43.4894,172.5322,"Christchurch",450914,0.00010388633934002236
3046,-37.0097,174.7917,"Auckland",1473397,0.0005576107939896451
3093,45.63,8.7231,"Milan",8907478,0.00016025369093297973
3099,41.8003,12.2389,"Rome",4729924,0.000474206765258279
3106,35.5522,139.7797,"Tokyo",32212732,0.0005910379364648343
3127,35.7647,140.3864,"Tokyo Narita",8512151,0.0052085729789168814
3141,34.8583,136.8053,"Nagoya",11834566,0.0005014072846005676
3147,33.5858,130.4506,"Fukuoka",3931988,0.0002552916959216559
3151,34.4272,135.2442,"Osaka",19601735,0.0025461986325047417
3158,42.7753,141.6922,"Sapporo",3205804,0.0001908952504912973
3181,25.2528,55.3644,"Dubai",1501658,0.0017254309499490118
